source,target,weight
M0049,M0069,0.9313626444360225
M0049,M0057,0.7036820514270379
M0049,M0054,0.6707838267474845
M0049,M0063,0.6350514951395451
M0049,M0032,0.6187708742714572
M0049,M0004,0.6143023934825312
M0049,M0019,0.6124734303300214
M0049,M0011,0.5999356689332268
M0050,M0013,0.9942300191806611
M0050,M0007,0.9853849061185472
M0050,M0024,0.972106494266425
M0050,M0048,0.9656022546884016
M0050,M0045,0.963099397800799
M0050,M0046,0.9603432337166388
M0050,M0017,0.9471398306048603
M0050,M0064,0.9031892642620771
M0051,M0028,0.9975397164940542
M0051,M0030,0.9872231656161632
M0051,M0015,0.9770044608472446
M0051,M0001,0.9761486068518224
M0051,M0035,0.9574779776612957
M0051,M0027,0.9453375067295263
M0051,M0037,0.9384997951122216
M0051,M0044,0.9335659361120626
M0052,M0042,0.995779541793883
M0052,M0047,0.9773760608995838
M0052,M0041,0.9710702696761027
M0052,M0029,0.9642101343958412
M0052,M0011,0.9489542474450071
M0052,M0019,0.944154822376098
M0052,M0064,0.9401441714692179
M0052,M0048,0.9303260493393809
M0053,M0006,0.9113910035271371
M0053,M0005,0.9098219799018803
M0053,M0018,0.8956903784397178
M0053,M0061,0.8522500485711079
M0053,M0016,0.8503489445593316
M0053,M0010,0.7835272830439713
M0053,M0034,0.7727548875308967
M0053,M0056,0.7708445731341524
M0054,M0032,0.9958042275234562
M0054,M0057,0.995163103894346
M0054,M0068,0.8955112991712165
M0054,M0055,0.8936492956522282
M0054,M0021,0.8278802330355602
M0054,M0039,0.8202356573182954
M0054,M0009,0.7880615496171072
M0054,M0034,0.787847836046569
M0055,M0068,0.999972236032501
M0055,M0021,0.9591422173631193
M0055,M0039,0.9536825759817967
M0055,M0034,0.9529513039330131
M0055,M0032,0.9203542496961525
M0055,M0009,0.9099279437315543
M0055,M0056,0.9073574181039338
M0055,M0016,0.9021056460614326
M0056,M0016,0.9755336894766149
M0056,M0067,0.9679792339537538
M0056,M0008,0.9472104048227662
M0056,M0034,0.9358006618782123
M0056,M0022,0.9239727342641118
M0056,M0018,0.9198312359870772
M0056,M0055,0.9073574181039338
M0056,M0068,0.9054173617808315
M0057,M0054,0.995163103894346
M0057,M0032,0.9834432377921707
M0057,M0068,0.8512573961178305
M0057,M0055,0.8490563849695605
M0057,M0021,0.7836257050604707
M0057,M0039,0.7703835011627604
M0057,M0009,0.7478222592076723
M0057,M0034,0.7342640733741349
M0058,M0060,0.8773273506640864
M0058,M0066,0.8208071774052792
M0058,M0003,0.7889862275168336
M0058,M0023,0.779100922511089
M0058,M0065,0.7692594887736969
M0058,M0014,0.7427523085161329
M0058,M0012,0.7412463309806484
M0058,M0035,0.7285163829141245
M0059,M0043,0.9841667209044335
M0059,M0038,0.9661427318069479
M0059,M0010,0.9595021012099805
M0059,M0033,0.9252761246580066
M0059,M0002,0.9016120210421026
M0059,M0022,0.8836392043471876
M0059,M0018,0.8486252238664662
M0059,M0037,0.778671277591194
M0060,M0066,0.9855392719042925
M0060,M0003,0.982199615083835
M0060,M0012,0.9605934325026743
M0060,M0035,0.9541355237075693
M0060,M0030,0.8963775016779538
M0060,M0023,0.88672505162026
M0060,M0014,0.8853247517568538
M0060,M0015,0.884938231347243
M0061,M0005,0.8743231624839796
M0061,M0053,0.8522500485711079
M0061,M0018,0.7715174653785857
M0061,M0010,0.7688732734272432
M0061,M0038,0.7637564565403661
M0061,M0059,0.7587826095600156
M0061,M0002,0.6939941976867788
M0061,M0043,0.6655403075550882
